plot_id,accepted_name,fcover
120718b1,Sphagnum L.,6.0
120718b1,Thamnolia vermicularis (Sw.) Ach. ex Schaer.,1.33
120718b1,Vaccinium uliginosum L.,3.33
120718b1,Vaccinium vitis-idaea L.,24.67
120719a1,Arctagrostis latifolia (R. Br.) Griseb.,1.32
120719a1,Cardamine L.,0.66
120719a1,Carex aquatilis Wahlenb.,9.87
120719a1,Drepanocladus arcticus (R.S. Williams) Hedenäs,9.87
120719a1,Eriophorum angustifolium Honck.,17.11
120719a1,Eriophorum scheuchzeri Hoppe,5.92
120719a1,Juncus arcticus Willd.,0.66
120719a1,Meesia uliginosa Hedw.,18.42
120719a1,Ptychostomum pseudotriquetrum (Hedw.) J.R. Spence & H.P. Ramsay ex Holyoak & N. Pedersen,2.63
120719a1,Salix alaxensis (Andersson) Coville,0.66
120719a1,Salix ovalifolia Trautv.,1.97
120719a1,Salix pulchra Cham.,0.66
120719a1,Scorpidium revolvens (Sw.) Hedenäs,0.66
120719a2,Aulacomnium palustre (Hedw.) Schwägr.,3.95
120719a2,Aulacomnium turgidum (Wahlenb.) Schwägr.,0.66
120719a2,Betula nana L.,3.29
120719a2,Blepharostoma trichophyllum (L.) Dumort.,3.29
120719a2,Brachytheciastrum Ignatov & Huttunen,0.66
120719a2,Campylium stellatum (Hedw.) C.E.O. Jensen,0.66
120719a2,Carex aquatilis Wahlenb.,9.21
120719a2,Carex chordorrhiza Ehrh. ex L. f.,1.32
120719a2,Cassiope tetragona (L.) D. Don,0.66
120719a2,Comarum palustre L.,0.66
120719a2,Dactylina Nyl.,1.32
120719a2,Dicranum elongatum Schleich. ex Schwägr.,1.97
120719a2,Empetrum nigrum L.,0.66
120719a2,Eriophorum angustifolium Honck.,0.66
120719a2,Eriophorum scheuchzeri Hoppe,0.66
120719a2,Oncophorus wahlenbergii Brid.,0.66
120719a2,Pedicularis langsdorffii Fisch. ex Stev.,0.66
120719a2,Peltigera aphthosa (L.) Willd.,1.32
120719a2,Poa L.,0.66
120719a2,Rhizomnium (Broth.) T.J. Kop.,3.95
120719a2,Rhododendron tomentosum ssp. decumbens (Aiton) Elven & D.F. Murray,1.97
120719a2,Ricciocarpos Corda,0.66
120719a2,Salix ovalifolia Trautv.,3.95
120719a2,Salix pulchra Cham.,6.58
120719a2,Scorpidium revolvens (Sw.) Hedenäs,3.95
120719a2,Sphagnum majus (Russow) C.E.O. Jensen,1.32
120719a2,Sphagnum russowii Warnst.,21.71
120719a2,Sphagnum squarrosum Crome,2.63
120719a2,Sphagnum steerei R.E. Andrus,1.97
120719a2,Sphagnum warnstorfii Russow,3.95
120719a2,Vaccinium vitis-idaea L.,1.97
120720a1,Alectoria Ach.,5.88
120720a1,Artemisia arctica Less.,1.96
120720a1,Campanula lasiocarpa Cham.,1.96
120720a1,Cherleria arctica (Stev. ex Ser.) A.J. Moore & Dillenb.,1.96
120720a1,Flavocetraria cucullata (Bellardi) Kärnefelt & A. Thell,1.96
120720a1,Polytrichum Hedw.,5.88
120720a1,Rumex L.,1.96
120720a1,Thamnolia subuliformis (Ehrh.) W.L. Culb.,5.88
120720b1,Alnus alnobetula ssp. fruticosa (Rupr.) Raus.,20.67
120720b1,Arctagrostis latifolia (R. Br.) Griseb.,2.0
120720b1,Arctous rubra (Rehder & Wilson) Nakai,1.33
120720b1,Aulacomnium palustre (Hedw.) Schwägr.,1.33
120720b1,Aulacomnium turgidum (Wahlenb.) Schwägr.,3.33
120720b1,Betula nana L.,21.33
120720b1,Bistorta plumosa (Small) Greene,1.33
120720b1,Carex bigelowii Torr. ex Schwein.,11.33
120720b1,Cassiope tetragona (L.) D. Don,10.0
120720b1,Cladonia P. Browne,2.67
120720b1,Cladonia arbuscula ssp. mitis (Sandst.) Ruoss,0.67
